Device,MAC,TYPE,VLAN,PORT
172.20.128.89,5254.0018.d804,STATIC,1,Vl1
172.20.128.89,5254.0018.d8fe,STATIC,101,Vl101
172.20.128.89,5254.0018.d80a,STATIC,102,Vl102
172.20.128.89,5254.000a.7870,DYNAMIC,105,Gi1/0/3
172.20.128.89,5254.000a.78fa,DYNAMIC,105,Gi1/0/3
172.20.128.89,5254.0018.d836,STATIC,105,Vl105
172.20.128.94,5254.0004.d78e,STATIC,1,Vl1
172.20.128.94,5254.0004.d788,STATIC,101,Vl101
172.20.128.94,5254.0004.d794,STATIC,102,Vl102
172.20.128.94,5254.0004.d794,STATIC,106,Vl106
172.20.128.94,5254.0015.b91a,DYNAMIC,106,Gi1/0/3
